label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_overall_mean,mfcc_overall_std,mfcc_overall_min,mfcc_overall_max
B,-288.71518,62.11789,61.813663,46.520283,-44.062965,12.75042,-19.189692,-21.950888,-13.966807,-0.026688408,-22.002224,1.0900275,-14.134774,-18.442842,88.74338,-435.3501,127.7294
C,-301.64816,12.899066,53.032333,33.10761,-32.20425,-11.029531,-6.420172,-26.161446,-23.920433,4.9208126,-16.037413,4.434991,-5.2269816,-24.173351,86.09824,-478.0149,66.62503
G,-397.78647,22.22081,18.401628,39.380756,-37.70307,-4.7624445,-19.44337,3.1348279,-21.236523,-6.3158884,2.757361,-4.2224073,-1.6824934,-31.32748,118.27227,-617.5847,89.25597
C,-296.87726,17.148615,54.212383,28.145731,-29.436317,-9.306267,-2.926679,-16.519516,-21.237228,2.3604174,-12.734046,-1.3053252,-4.137708,-22.508707,84.8333,-451.29764,71.932175
E,-384.64874,57.820217,51.219078,62.971817,-45.01008,-18.911924,-19.69439,-10.354308,-49.120728,2.830251,-9.224112,-13.39227,1.9686127,-28.734352,111.813515,-627.9184,115.11173
F,-398.42606,37.74989,8.6289015,9.73177,11.980957,6.326907,3.015541,23.681145,-0.7118979,-1.6842861,7.079136,-1.9341389,-6.5828705,-23.164999,117.44715,-681.6432,108.54729
I,-457.04312,59.889767,16.832588,9.980362,-8.579361,19.495197,4.2608924,-4.9799743,3.2032673,3.5832705,-7.36566,2.4254417,-6.8120384,-28.085335,134.48538,-671.1815,103.19685
I,-349.7464,156.79114,-4.970219,-30.505493,-32.128983,-14.453753,-11.39294,-8.220193,-26.022743,-2.2895157,-0.10645307,-9.949197,-16.871754,-26.912804,109.39169,-578.91754,220.4797
G,-253.25296,38.225487,32.15036,31.038315,-38.12676,-9.061888,-0.6394185,0.4888975,-13.370353,5.995857,9.200799,-5.9204144,-18.681417,-17.073347,75.17791,-470.67926,89.018906
J,-525.723,46.768948,28.64484,25.526016,-3.039629,10.06557,3.1323702,5.9001374,-2.4607623,9.51222,7.2242656,-2.379229,-1.613663,-30.649376,150.06923,-767.1959,89.52284
I,-239.5669,54.867687,12.610804,-15.089098,-23.561953,27.2871,-30.005524,-1.4471601,-14.437874,3.7883003,-7.536476,-15.654045,1.8827492,-18.989414,74.51258,-427.35318,128.03954
J,-482.06476,44.16881,28.877771,29.49347,-3.5030792,5.648934,4.32066,-4.43124,-7.8690977,1.616072,-6.16929,-3.039357,-0.6249088,-30.275084,138.13805,-648.9269,149.9579
